date,country,D,H,I,M,S
2021-04-01,India,0.0,1406.0,0.0,0.0,0.0
2021-04-01,Sweden,0.0,9.0,0.0,0.0,0.0
2021-04-02,India,0.0,1050.0,356.0,0.0,0.0
2021-04-02,Sweden,0.0,6.0,3.0,0.0,0.0
2021-04-03,India,0.0,803.0,603.0,0.0,0.0
2021-04-03,Sweden,0.0,5.0,4.0,0.0,0.0
2021-04-04,India,0.0,621.0,785.0,0.0,0.0
2021-04-04,Sweden,0.0,4.0,5.0,0.0,0.0
2021-04-05,India,0.0,466.0,940.0,0.0,0.0
2021-04-05,Sweden,0.0,4.0,5.0,0.0,0.0
2021-04-06,India,0.0,381.0,669.0,191.0,165.0
2021-04-06,Sweden,0.0,3.0,3.0,3.0,0.0
2021-04-07,India,0.0,298.0,505.0,314.0,289.0
2021-04-07,Sweden,0.0,2.0,3.0,3.0,1.0
2021-04-08,India,0.0,242.0,379.0,399.0,386.0
2021-04-08,Sweden,0.0,2.0,2.0,4.0,1.0
2021-04-09,India,0.0,198.0,268.0,465.0,475.0
2021-04-09,Sweden,0.0,1.0,3.0,4.0,1.0
2021-04-10,India,0.0,163.0,218.0,507.0,518.0
2021-04-10,Sweden,0.0,1.0,2.0,4.0,2.0
2021-04-11,India,0.0,141.0,157.0,552.0,556.0
2021-04-11,Sweden,0.0,0.0,2.0,4.0,3.0
2021-04-12,India,0.0,126.0,116.0,583.0,581.0
2021-04-12,Sweden,0.0,0.0,2.0,4.0,3.0
2021-04-13,India,0.0,114.0,84.0,608.0,600.0
2021-04-13,Sweden,0.0,0.0,1.0,4.0,4.0
2021-04-14,India,0.0,98.0,65.0,627.0,616.0
2021-04-14,Sweden,0.0,0.0,1.0,4.0,4.0
2021-04-15,India,0.0,92.0,49.0,638.0,627.0
2021-04-15,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-16,India,0.0,83.0,43.0,643.0,637.0
2021-04-16,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-17,India,0.0,81.0,33.0,649.0,643.0
2021-04-17,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-18,India,0.0,71.0,27.0,653.0,655.0
2021-04-18,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-19,India,0.0,63.0,29.0,655.0,659.0
2021-04-19,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-20,India,18.0,56.0,27.0,809.0,496.0
2021-04-20,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-21,India,34.0,52.0,29.0,917.0,374.0
2021-04-21,Sweden,1.0,0.0,0.0,4.0,4.0
2021-04-22,India,45.0,47.0,24.0,1005.0,285.0
2021-04-22,Sweden,1.0,0.0,0.0,4.0,4.0
2021-04-23,India,58.0,43.0,20.0,1085.0,200.0
2021-04-23,Sweden,1.0,0.0,0.0,4.0,4.0
2021-04-24,India,64.0,37.0,19.0,1125.0,161.0
2021-04-24,Sweden,1.0,0.0,0.0,5.0,3.0
2021-04-25,India,72.0,33.0,19.0,1159.0,123.0
2021-04-25,Sweden,1.0,0.0,0.0,6.0,2.0
2021-04-26,India,76.0,31.0,16.0,1181.0,102.0
2021-04-26,Sweden,1.0,0.0,0.0,6.0,2.0
2021-04-27,India,78.0,26.0,17.0,1200.0,85.0
2021-04-27,Sweden,1.0,0.0,0.0,7.0,1.0
2021-04-28,India,78.0,25.0,12.0,1220.0,71.0
2021-04-28,Sweden,1.0,0.0,0.0,7.0,1.0
2021-04-29,India,81.0,23.0,10.0,1230.0,62.0
2021-04-29,Sweden,1.0,0.0,0.0,8.0,0.0
2021-04-30,India,82.0,23.0,8.0,1240.0,53.0
2021-04-30,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-01,India,83.0,20.0,6.0,1247.0,50.0
2021-05-01,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-02,India,84.0,19.0,6.0,1259.0,38.0
2021-05-02,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-03,India,84.0,17.0,6.0,1263.0,36.0
2021-05-03,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-04,India,84.0,16.0,7.0,1265.0,34.0
2021-05-04,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-05,India,84.0,16.0,4.0,1269.0,33.0
2021-05-05,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-06,India,84.0,13.0,6.0,1278.0,25.0
2021-05-06,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-07,India,84.0,11.0,6.0,1283.0,22.0
2021-05-07,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-08,India,84.0,11.0,5.0,1287.0,19.0
2021-05-08,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-09,India,84.0,9.0,7.0,1287.0,19.0
2021-05-09,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-10,India,84.0,9.0,4.0,1294.0,15.0
2021-05-10,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-11,India,84.0,9.0,2.0,1297.0,14.0
2021-05-11,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-12,India,84.0,8.0,3.0,1299.0,12.0
2021-05-12,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-13,India,84.0,6.0,3.0,1301.0,12.0
2021-05-13,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-14,India,84.0,5.0,4.0,1302.0,11.0
2021-05-14,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-15,India,84.0,4.0,5.0,1305.0,8.0
2021-05-15,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-16,India,84.0,4.0,4.0,1306.0,8.0
2021-05-16,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-17,India,84.0,3.0,3.0,1309.0,7.0
2021-05-17,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-18,India,84.0,3.0,2.0,1310.0,7.0
